Cas de Test,N (Points par côté),h (Taille de Pas),Erreur L-infini,Ordre de Convergence
"Cas 1: u(x,y) = sin(pi*x)sin(pi*y)",10,0.1,0.008265416966228623,N/A
"Cas 1: u(x,y) = sin(pi*x)sin(pi*y)",20,0.05,0.0020587067645321255,2.005349249285314
"Cas 1: u(x,y) = sin(pi*x)sin(pi*y)",40,0.025,0.0005142004781450993,2.001335495014704
"Cas 1: u(x,y) = sin(pi*x)sin(pi*y)",80,0.0125,0.000128520383535502,2.000333760431707
"Cas 1: u(x,y) = sin(pi*x)sin(pi*y)",160,0.00625,3.212823780263108e-05,2.000083433367903
"Cas 1: u(x,y) = sin(pi*x)sin(pi*y)",320,0.003125,8.031943335984337e-06,2.0000208563289936
"Cas 2: u(x,y) = x^2 + y^2",10,0.1,4.440892098500626e-16,N/A
"Cas 2: u(x,y) = x^2 + y^2",20,0.05,1.1102230246251565e-15,-1.3219280948873622
"Cas 2: u(x,y) = x^2 + y^2",40,0.025,6.439293542825908e-15,-2.5360529002402097
"Cas 2: u(x,y) = x^2 + y^2",80,0.0125,1.2878587085651816e-14,-1.0
"Cas 2: u(x,y) = x^2 + y^2",160,0.00625,1.3100631690576847e-14,-0.024662054234269072
"Cas 2: u(x,y) = x^2 + y^2",320,0.003125,6.317169010117141e-14,-2.2696417929447406
